,1,2,3,4
A,0.0,0.18001088479919125,0.25855081575765027,0.3520428600515813
An,248.0,351.0,278.0,53.0
B,0.0,0.15076622766122771,0.2966313131313131,0.4897045019157088
Bn,325.0,396.0,180.0,29.0
C,0.0,0.20214872925532826,0.2890611376530308,0.42353655462184875
Cn,297.0,394.0,204.0,35.0
D,0.0,0.17650463629305913,0.2572793126684636,0.3672171052631579
Dn,309.0,371.0,212.0,38.0
E,0.0,0.15269780219780213,0.25787346938775507,0.3760616414307658
En,273.0,319.0,245.0,93.0
F,0.0,0.17914337552742615,0.2613863943953506,0.35464266799073146
Fn,200.0,237.0,265.0,228.0
