,用水事件时长(M),开关机切换次数,总用水量(L),总用水时长（Min）,平均水流量（L/min）
0,0.03333333333333333,0,8,0.03333333333333333,240.0
1,0.03333333333333333,0,8,0.03333333333333333,240.0
2,0.65,0,49,0.30833333333333335,158.9189189189189
3,0.03333333333333333,0,22,0.03333333333333333,660.0
4,0.03333333333333333,0,8,0.03333333333333333,240.0
5,14.15,1,7282,14.05,518.2918149466192
6,0.26666666666666666,0,384,0.18333333333333332,2094.5454545454545
7,11.283333333333333,0,3050,9.7,314.4329896907217
8,8.75,0,3876,8.65,448.0924855491329
9,9.3,0,4040,9.233333333333333,437.54512635379064
10,0.03333333333333333,0,8,0.03333333333333333,240.0
11,0.16666666666666666,0,16,0.0,inf
12,0.03333333333333333,0,8,0.03333333333333333,240.0
13,15.933333333333334,0,3895,13.216666666666667,294.70365699873895
14,0.06666666666666667,0,23,0.0,inf
15,0.5,0,496,0.43333333333333335,1144.6153846153845
16,4.133333333333334,0,1576,4.033333333333333,390.74380165289256
17,5.633333333333334,0,1751,5.566666666666666,314.55089820359285
18,0.03333333333333333,0,8,0.03333333333333333,240.0
19,8.85,0,3368,8.783333333333333,383.4535104364326
20,0.03333333333333333,0,8,0.03333333333333333,240.0
21,0.03333333333333333,0,8,0.03333333333333333,240.0
22,0.13333333333333333,0,43,0.05,860.0
23,9.95,0,2903,9.866666666666667,294.22297297297297
24,18.1,3,3376,17.966666666666665,187.9035250463822
25,0.03333333333333333,0,8,0.03333333333333333,240.0
26,0.03333333333333333,0,8,0.03333333333333333,240.0
27,6.716666666666667,0,2124,6.616666666666666,321.007556675063
28,0.03333333333333333,0,8,0.03333333333333333,240.0
29,5.183333333333334,0,2114,5.116666666666666,413.1596091205212
30,10.883333333333333,0,3759,10.791666666666666,348.3243243243243
31,0.03333333333333333,0,8,0.03333333333333333,240.0
32,0.03333333333333333,0,10,0.03333333333333333,300.0
33,0.03333333333333333,0,8,0.03333333333333333,240.0
34,0.03333333333333333,0,8,0.03333333333333333,240.0
35,0.03333333333333333,0,8,0.03333333333333333,240.0
36,0.03333333333333333,0,8,0.03333333333333333,240.0
37,0.03333333333333333,0,45,0.03333333333333333,1350.0
38,0.03333333333333333,0,8,0.03333333333333333,240.0
39,9.433333333333334,0,3556,9.308333333333334,382.0232766338406
40,3.8333333333333335,0,1277,3.75,340.53333333333336
41,11.716666666666667,0,4225,11.65,362.6609442060086
42,0.03333333333333333,0,8,0.03333333333333333,240.0
43,0.03333333333333333,0,8,0.03333333333333333,240.0
44,0.06666666666666667,0,22,0.0,inf
45,1.65,0,102,0.825,123.63636363636364
46,6.25,0,1815,6.083333333333333,298.35616438356163
47,1.3,0,1182,1.2333333333333334,958.3783783783783
48,4.166666666666667,0,1759,4.1,429.0243902439025
49,7.666666666666667,0,4229,7.6,556.4473684210526
50,0.03333333333333333,0,8,0.03333333333333333,240.0
51,0.03333333333333333,0,10,0.03333333333333333,300.0
52,0.03333333333333333,0,8,0.03333333333333333,240.0
53,6.283333333333333,0,2214,6.216666666666667,356.1394101876676
54,10.633333333333333,0,5122,10.566666666666666,484.73186119873816
55,2.816666666666667,0,1441,2.6333333333333333,547.2151898734177
56,0.03333333333333333,0,10,0.03333333333333333,300.0
57,10.133333333333333,0,4586,10.066666666666666,455.5629139072848
58,7.716666666666667,0,3187,7.6,419.3421052631579
59,6.366666666666666,0,2251,6.3,357.3015873015873
60,3.95,0,1370,3.8666666666666667,354.3103448275862
61,7.616666666666666,0,3706,7.45,497.4496644295302
62,0.03333333333333333,0,8,0.03333333333333333,240.0
63,0.03333333333333333,0,8,0.03333333333333333,240.0
64,9.8,0,3354,9.658333333333333,347.2648835202761
65,0.6333333333333333,0,440,0.5166666666666667,851.6129032258063
66,0.03333333333333333,0,8,0.03333333333333333,240.0
67,7.366666666666666,0,2034,7.308333333333334,278.31242873432154
68,17.5,0,4208,17.425,241.49210903873742
69,0.03333333333333333,0,8,0.03333333333333333,240.0
70,0.75,0,556,0.675,823.7037037037037
71,0.7,0,736,0.625,1177.6
72,0.03333333333333333,0,8,0.03333333333333333,240.0
73,10.3,0,4393,10.216666666666667,429.9836867862969
74,4.5,0,1279,4.333333333333333,295.1538461538462
75,8.383333333333333,0,3776,8.283333333333333,455.85513078470825
