,发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度,事件编号
2,2014-10-19 07:01:56,关,关,关,30°C,0%,8,0分钟,50°C,1
56,2014-10-19 07:38:16,关,关,关,30°C,0%,8,0分钟,50°C,2
381,2014-10-19 09:46:38,关,关,关,29°C,0%,16,0分钟,50°C,3
382,2014-10-19 09:46:40,关,关,关,29°C,0%,13,0分钟,50°C,3
384,2014-10-19 09:47:15,关,关,关,29°C,0%,20,0分钟,50°C,3
404,2014-10-19 11:50:17,关,关,关,29°C,0%,22,0分钟,50°C,4
407,2014-10-19 13:56:21,关,关,关,29°C,0%,8,0分钟,50°C,5
410,2014-10-19 15:34:39,关,关,关,29°C,0%,36,0分钟,50°C,6
411,2014-10-19 15:34:40,关,关,关,29°C,0%,32,0分钟,50°C,6
412,2014-10-19 15:34:45,关,关,关,29°C,0%,31,0分钟,50°C,6
413,2014-10-19 15:34:47,关,关,关,29°C,0%,32,0分钟,50°C,6
414,2014-10-19 15:34:49,关,关,关,29°C,0%,31,0分钟,50°C,6
415,2014-10-19 15:34:53,关,关,关,29°C,0%,32,0分钟,50°C,6
416,2014-10-19 15:34:59,关,关,关,29°C,0%,42,0分钟,50°C,6
417,2014-10-19 15:35:03,关,关,关,29°C,0%,43,0分钟,50°C,6
418,2014-10-19 15:35:05,关,关,关,29°C,0%,40,0分钟,50°C,6
419,2014-10-19 15:35:15,关,关,关,29°C,0%,32,0分钟,50°C,6
420,2014-10-19 15:35:17,关,关,关,29°C,0%,31,0分钟,50°C,6
421,2014-10-19 15:35:21,关,关,关,29°C,0%,32,0分钟,50°C,6
422,2014-10-19 15:35:24,关,关,关,29°C,0%,31,0分钟,50°C,6
423,2014-10-19 15:35:32,关,关,关,29°C,0%,30,0分钟,50°C,6
424,2014-10-19 15:35:34,关,关,关,29°C,0%,28,0分钟,50°C,6
425,2014-10-19 15:35:40,关,关,关,29°C,0%,30,0分钟,50°C,6
426,2014-10-19 15:35:42,关,关,关,29°C,0%,31,0分钟,50°C,6
427,2014-10-19 15:35:46,关,关,关,29°C,0%,30,0分钟,50°C,6
428,2014-10-19 15:35:48,关,关,关,29°C,0%,28,0分钟,50°C,6
